,time_us,GGA,lat,lon
2192,1665744844107.5012,GGA,46.0676912,11.1508922
2194,1665744844214.305,GGA,46.0676912,11.1508922
2196,1665744844307.0347,GGA,46.0676912,11.1508922
2198,1665744844407.2422,GGA,46.0676912,11.1508922
2200,1665744844508.845,GGA,46.0676912,11.1508922
2202,1665744844606.9941,GGA,46.0676912,11.1508922
2204,1665744844707.4434,GGA,46.0676912,11.1508922
2206,1665744844807.571,GGA,46.0676912,11.1508922
2208,1665744844907.1113,GGA,46.0676912,11.1508922
2210,1665744845021.0154,GGA,46.0676912,11.1508922
2212,1665744845108.024,GGA,46.0676912,11.1508922
2214,1665744845207.3499,GGA,46.0676912,11.1508922
2216,1665744845307.0518,GGA,46.0676912,11.1508922
2218,1665744845408.1133,GGA,46.0676912,11.1508922
2220,1665744845510.7263,GGA,46.0676912,11.1508922
2222,1665744845611.3962,GGA,46.0676912,11.1508922
2224,1665744845707.2144,GGA,46.0676912,11.1508922
2226,1665744845807.6755,GGA,46.0676912,11.1508922
2228,1665744845907.138,GGA,46.0676912,11.1508922
2230,1665744846022.2,GGA,46.0676912,11.1508922
2232,1665744846107.2283,GGA,46.0676912,11.1508922
2234,1665744846207.667,GGA,46.0676912,11.1508922
2236,1665744846306.9526,GGA,46.0676912,11.1508922
2238,1665744846407.0347,GGA,46.0676912,11.1508922
2240,1665744846508.5752,GGA,46.0676912,11.1508922
2242,1665744846607.2683,GGA,46.0676912,11.1508922
2244,1665744846707.3457,GGA,46.0676912,11.1508922
2246,1665744846807.4993,GGA,46.0676912,11.1508922
2248,1665744846907.73,GGA,46.0676912,11.1508922
2250,1665744847020.2507,GGA,46.0676912,11.1508922
2252,1665744847109.3008,GGA,46.0676912,11.1508922
2254,1665744847208.8577,GGA,46.0676912,11.1508922
2256,1665744847308.1606,GGA,46.0676912,11.1508922
2258,1665744847407.5867,GGA,46.0676912,11.1508922
2260,1665744847508.8225,GGA,46.0676912,11.1508922
2262,1665744847607.5378,GGA,46.0676912,11.1508922
2264,1665744847706.7944,GGA,46.0676912,11.1508922
2266,1665744847807.9465,GGA,46.0676912,11.1508922
2268,1665744847907.0469,GGA,46.0676912,11.1508922
2270,1665744848021.1836,GGA,46.0676912,11.1508922
2272,1665744848107.7717,GGA,46.0676912,11.1508922
2274,1665744848207.7861,GGA,46.0676914,11.1508921
2276,1665744848306.9302,GGA,46.0676914,11.1508921
2278,1665744848407.3945,GGA,46.0676914,11.1508921
2280,1665744848509.7236,GGA,46.0676914,11.1508921
2282,1665744848607.3572,GGA,46.0676914,11.1508921
2284,1665744848706.9497,GGA,46.0676914,11.1508921
2286,1665744848807.4077,GGA,46.0676914,11.1508921
2288,1665744848907.1204,GGA,46.0676914,11.1508921
2290,1665744849026.2583,GGA,46.0676914,11.1508921
2292,1665744849112.1038,GGA,46.0676914,11.1508921
2294,1665744849207.6487,GGA,46.0676914,11.1508921
2296,1665744849306.8984,GGA,46.0676914,11.1508921
2298,1665744849407.107,GGA,46.0676914,11.1508921
2300,1665744849509.3733,GGA,46.0676914,11.1508921
2302,1665744849607.6465,GGA,46.0676913,11.1508921
2304,1665744849706.9165,GGA,46.0676913,11.1508921
2306,1665744849807.7932,GGA,46.0676913,11.1508921
2308,1665744849906.9526,GGA,46.0676914,11.1508921
2310,1665744850018.7422,GGA,46.0676913,11.1508921
2312,1665744850107.0073,GGA,46.0676913,11.1508921
2314,1665744850207.9924,GGA,46.0676914,11.1508921
2316,1665744850307.056,GGA,46.0676914,11.1508921
2318,1665744850407.5874,GGA,46.0676914,11.1508921
2320,1665744850515.4727,GGA,46.0676913,11.1508921
2322,1665744850607.614,GGA,46.0676914,11.1508921
2324,1665744850706.904,GGA,46.0676913,11.1508921
2326,1665744850807.495,GGA,46.0676913,11.1508921
2328,1665744850906.9612,GGA,46.0676914,11.1508921
2330,1665744851019.1733,GGA,46.0676913,11.1508921
2332,1665744851108.538,GGA,46.0676913,11.1508921
2334,1665744851207.19,GGA,46.0676914,11.1508921
2336,1665744851306.9658,GGA,46.0676914,11.1508921
2338,1665744851407.9246,GGA,46.0676914,11.1508921
2340,1665744851514.6318,GGA,46.0676914,11.1508921
2342,1665744851607.5547,GGA,46.0676914,11.1508921
2344,1665744851707.453,GGA,46.0676914,11.1508921
